date,open,high,low,close,volume
2023-05-17,169.34,170.54,168.06,170.3,57951600
2023-05-18,170.61,172.82,170.19,172.63,65496700
2023-05-19,173.95,173.95,172.52,172.74,55809500
2023-05-22,171.57,172.29,171.05,171.79,43570900
2023-05-23,170.74,170.98,168.91,169.19,50747300
2023-05-24,168.72,170.04,168.16,169.46,45143500
2023-05-25,170.03,171.5,169.32,170.6,56058300
2023-05-26,170.92,173.34,170.72,173.0,54835000
2023-05-30,174.51,176.52,174.13,174.85,55964400
2023-05-31,174.88,176.87,174.32,174.8,99625300
2023-06-01,175.24,177.63,174.48,177.6,68901800
2023-06-02,178.53,179.27,176.78,178.45,61996900
2023-06-05,180.11,182.39,175.58,177.1,121946500
2023-06-06,177.48,177.63,174.98,176.73,64848400
2023-06-07,175.97,178.7,174.87,175.36,61944600
2023-06-08,175.44,178.34,175.01,178.07,50214900
2023-06-09,178.99,179.71,178.13,178.46,48900000
2023-06-12,178.76,181.35,178.47,181.25,54274900
2023-06-13,180.27,181.6,179.92,180.78,54929100
2023-06-14,180.83,181.84,179.5,181.41,57462900
2023-06-15,181.42,183.94,181.24,183.44,65433200
2023-06-16,184.15,184.4,181.72,182.36,101256200
2023-06-20,181.86,183.53,181.86,182.45,49799100
2023-06-21,182.34,182.85,180.07,181.42,49515700
2023-06-22,181.2,184.46,181.13,184.41,51245300
2023-06-23,182.98,184.97,182.45,184.1,53117000
2023-06-26,184.25,185.45,182.67,182.71,48088700
2023-06-27,183.32,185.79,183.1,185.46,50730800
2023-06-28,185.33,187.27,185.01,186.63,51216800
2023-06-29,186.47,187.44,186.33,186.97,46347300
2023-06-30,188.98,191.79,188.62,191.29,85213200
2023-07-03,191.1,191.2,189.11,189.8,31458200
2023-07-05,188.92,190.31,187.98,188.68,46920300
2023-07-06,187.22,189.37,186.58,189.16,45094300
2023-07-07,188.76,190.01,187.61,188.04,46815000
2023-07-10,186.64,187.36,184.45,186.0,59922200
2023-07-11,186.54,186.68,184.02,185.48,46638100
2023-07-12,187.06,189.05,185.86,187.15,60750200
2023-07-13,187.87,188.55,187.16,187.91,41342300
2023-07-14,187.6,188.54,187.01,188.05,41616200
2023-07-17,189.25,191.63,189.16,191.31,50520200
2023-07-18,190.68,191.64,189.76,191.05,48288200
2023-07-19,190.43,195.49,189.99,192.4,80507300
2023-07-20,192.39,193.75,189.84,190.46,59581200
2023-07-21,191.42,192.27,188.59,189.29,71951700
2023-07-24,190.74,192.22,189.59,190.09,45377800
2023-07-25,190.66,191.75,190.25,190.94,37283200
2023-07-26,190.99,192.94,190.65,191.81,47471900
2023-07-27,193.31,194.47,189.89,190.55,47460200
2023-07-28,191.98,193.91,191.46,193.12,48291400
2023-07-31,193.35,193.77,192.56,193.73,38824100
2023-08-01,193.53,194.01,192.58,192.91,35175100
2023-08-02,192.34,192.48,189.2,189.92,50389300
2023-08-03,188.92,189.71,188.05,188.53,61235200
2023-08-04,182.96,184.79,179.4,179.47,115956800
2023-08-07,179.61,180.6,174.9,176.38,97576100
2023-08-08,177.21,177.78,175.12,177.31,67823000
2023-08-09,178.37,178.43,174.56,175.73,60378500
